bo text,en text,zh text,bo commentary 1 ,en commentary 1 ,lzh commentary 1 ,bo Commentary 2,en commentary,lzh commentary,
583a07b2-7b1e-49bc-8f4d-8fcc9b9e1030,8a14f64a-ce7f-4dd7-b13d-f2c0607e40b6,76f7642c-e3b8-4b34-8dcc-9758be14a480,2788eef2-9390-48c4-a27d-aa4641b7a465,fccb5f11-9726-44e6-801f-b061fa8a1d66,6b6f9029-0fb9-42f6-9539-d7e7b8e5583c,e3f10b86-72cf-4ba4-b347-4c94694539cb,eae6f269-fe98-43a8-90e1-962367a47f78,d82a09bd-d099-40e4-8c1f-b420891a2a69,NOTE: this means that the segment 1 of the commentary text is linked or mapped to segment 1 of version text
a4206439-0125-4dca-a466-8c579b3a01bb,6dc1fb32-0e13-4146-bad7-34dc532a8e45,2a0109d7-b61d-47f0-9dcb-344229ea02ac,614e3ef2-4820-44df-9fa1-b82b97fd136f,2e95e7b7-bb3a-48bb-8ea3-471cc8c6d879,fb28c8a0-65e5-4d77-aa5c-a862c1066f53,cf654967-c3ea-4b4e-a522-758ec41616e6,aa64e0f6-40c9-4439-9391-4a0467b4570d,472e2fec-0390-4550-bf09-b2dec20fa68f,"NOTE: here you don't need to mention which section the segment belong to, just write in order from first chapter segment 1 verse to last chapter segment n"
38c30008-69f5-43df-8797-602d3a9574d8,faf8bb0a-3111-4cc7-9eb7-912dd222ea63,ab0af214-b97d-448b-bdba-af5491146216,fcc74e03-4a78-4dff-80c6-8cf08172658d,2c21f444-ca94-4e16-b3ff-efe617ad96fc,1129ff4f-c4aa-4c07-880b-98ef1e094c27,ddc8c893-a609-458d-965c-2e314133b5a4,d04f6b7e-4cb3-4060-9ec3-8a4c6949ac38,cff0fd33-e2cf-4550-aa92-95fd3b248a27,
b70fba4a-0c2d-45c6-9841-fab5d61db5aa,53112699-44ca-4b15-ad8b-d3058dcfb803,bbdec18a-439b-46db-81a2-f681692ca49b,5567bd03-099f-4c60-9bfa-b1edc4afb6c1,d30cad8a-c06a-4026-922d-8b4e30c925b8,e3f33bb1-f904-4a1f-8e1e-802fb9733726,f2606831-5e62-4937-a043-14f9a6137f48,f709de0d-9d91-4266-9190-d416279c6b81,72353eb6-32af-4982-bafb-509d3c560b44,
f0403cc5-43b5-4092-b211-e8e62bd2e046,1a018423-4bc0-49fa-9ad6-4d8f48686896,26ae1f6a-8522-4c33-bb7c-96264f2ccad9,668c1676-2434-48da-aa4d-fc916d50f591,db983043-7b82-4bb9-9bbd-b8c0a94da1be,33143cdd-f6a6-4da3-af4b-ae4f1e238e28,b841b5f4-3a6a-4ab6-b98d-c063f1087324,20259589-b148-4051-bfb1-ea60ab8a9c13,9d38c73f-0be5-4fb5-a2fc-844f39b6054c,
a07a8f59-92d9-419e-b738-fa3d0dbff03c,69851e36-0f0d-466c-82a1-9eeb675ffe67,7ebe8746-ca30-46e8-ac29-6d090d684b68,e459744d-29d0-43c0-9f1a-b14665e76ec1,5ae3b6a5-91b6-4fe9-8c13-af1cf873b609,28c0c341-9250-4f71-b067-3af4908fe803,8c57732b-a3d9-4432-b862-2f7da1b14fa7,5b3cb48a-6438-48a5-9c19-ae18e39d5ccf,d9f27740-ff60-4f57-bedb-0c1b30ac1032,
b4b5cbdb-f97a-4620-a63a-f9e8398100ef,16ddce7b-fdc3-4220-9340-c1c676cec923,4270e1c4-d7b3-4566-a24c-1820b674d42c,9210d8db-3693-4f83-9f94-aeb10e43ea45,ff9a0be7-a7ea-4c40-9a5e-019fd9c6ae91,deaf2f05-081c-47ab-9547-453a28434006,9ce2eb75-98c9-431c-bae1-66ecc7d8c168,f27bad81-9fe6-49aa-babc-b333795e121f,22b1fee5-809f-4b45-a8ae-66684b887403,
0e228f95-5af4-4764-b263-ad79bc2996c6,26a77842-8fc7-4b93-8000-7e5780c3526d,24c1c636-6316-481c-8d39-ed8b136ecc2c,4b9dfaa2-e401-4f34-8144-8d4d0bbf45f1,7d86c366-0036-4a3a-bf37-e07aee393e9f,d40ae23f-b0f8-40b2-9d9e-515a3ead0ca9,ddf02447-0c48-47cc-b6ec-c84339e901c0,caac1819-5781-4312-86bc-436898acb6b0,783ffae3-5b89-413c-9e4d-e6053da2edcb,
73dd56af-f6ee-4bac-9d70-0412a9b256e3,a9a0a53a-b111-4fd4-90c1-e04588d8f1c5,b925f161-e075-483c-ba92-b81159f2985a,e67f1b33-d578-4a80-842e-014991dd9bf4,03b8c3f8-e29a-4d45-9785-99ef0fa81ae0,3e17c89c-08ca-4826-b748-cb349067afd5,9f710d10-64e2-4543-8d16-f3303720e06a,37b5d580-2b7f-4891-8a2b-ab084fbf2fdb,7e06642c-35ad-40c6-a93d-b006c3b116a7,
ca6bd568-070b-4055-a2a5-8cf3f3863128,fb091ad7-f71a-4a80-90aa-c94650fd4386,6cabf6e1-98ec-498b-9f16-aeab7bd112e4,200b60d1-a8ea-4bd5-886a-65054c114e6f,e47f5cab-8e91-4127-9a2a-92d042704757,09a54fcc-2476-4742-8a6a-cc2472581538,c676aab0-3bff-4aa8-8dc2-dbda5b3e8629,bb95bbc1-f08f-400f-9751-438e86ab945d,7d18b6fa-f28e-41d0-92a3-5f6538fc6b63,
b2051ef7-707c-484e-a078-6448143c9eaa,367b4818-cfe1-4515-9c2a-8b57fe841593,66776748-b0fb-409e-af19-109001321fe4,9bff64dc-9c4d-4ad5-8971-1bd4e3a72d6c,4e75e6e7-106b-419b-94fc-270d18105ce3,fe415326-a1b3-402f-890b-628da4c41918,185f8b9a-7b29-4d7b-8106-58cf52fac88a,671e2179-52ee-46c1-8092-28624aa584a1,0bbaed1b-2f5d-48d5-8a72-63aace39f8c3,
c5304e62-75a6-4853-a6e7-dfeabc8cb71a,4498d6a7-32f5-49a2-8b24-810e0a60360d,ab2f0e88-d7cf-46db-b6db-c3a6090616f8,caf2aedc-8068-487b-8335-b7ae73439dc1,9e3968f6-8d48-41e1-bdc2-2e7735f4f28d,a0a66e8d-e8c4-406d-940d-e9f7d37bc61e,ae174683-9c9f-4e0e-bfa7-ebae7d02c2e9,51fa2fe2-fcb0-43b5-9b6e-60d97b1a836c,63062df2-f8d1-457f-bf14-e74a66626734,
a3f51393-905d-4d79-9203-c385bfb7c190,3789de32-ceae-4a98-92ed-e85e1cbd9724,288be181-dbde-43c3-8eab-8a533c2f2039,7d974d05-8e47-430c-b447-f20bd6d81440,582435ec-d618-4f4c-baed-a1f14d3f26a1,a9794f48-bb87-49e9-af36-eea6b42e7d61,fab22bf5-0355-4b0f-8ca7-05204e4e4d72,5e8b2cef-5334-44e8-bc6c-bb58147d839c,d415a8ef-0d89-48bc-b84f-910c18351cfc,
f366f58a-24df-4836-83cb-5cb3a155cff1,616de04c-b567-469e-ae46-0d23d7c8f804,34168422-8033-4cb5-aae7-20f534f6c8b6,e94cce87-e4e7-4acc-96ac-56c46e9c1ef3,5f7fd953-36bf-4d14-905a-be62d76e1a83,e27b91ae-6691-4b51-adef-859aeeebcdbf,354082d6-18ef-4f32-bdc9-de96fb620c6c,429e862e-ed3b-4484-bcda-8968ad17f51b,d8137288-dfb3-4db0-a641-beab62f7dc41,
cc0fe2bb-1ac0-46e9-80af-2568a264a591,3b578a9b-d94c-4eb4-9f56-3475aac233fa,4deda2b8-11f2-4c95-b452-8dd062c78d7e,039accea-06e6-4fe1-ada4-fa32e6acf286,96f7e6a0-8997-4048-b75c-038276d10d66,56cc0a31-c4fb-4d2a-86cd-252fdc2982cf,da2b7961-488c-4373-b962-104c6b673486,29d858fe-8ae0-4110-bd38-ebaf3f897ffb,a5a2272f-002b-420d-b19c-cdcb63cb660a,
3d4d4a56-5d8d-4bfa-b6c3-f05263ad88cb,75ab21a4-d1c3-4d25-b778-573d28c94036,422f54a0-1823-446b-9fab-220ea56d56d1,64c92698-2c45-4955-90d0-d7db8e2de216,d7bae0b3-2a19-4d64-9131-afd86ea7b2d3,d9cb35ba-92ee-4a91-87d7-eb3ef605bfb5,cd984845-daa3-481f-b2b5-d8b46e128f2e,1af38024-beff-4ee0-b447-e0db53f7d58e,840eb8cd-fd94-439a-bcc4-af77a8200eed,
5bd6aaaf-3388-4215-b1a9-b6112b8d5b74,8a7c3f4c-b21e-412e-9814-0bcbe4d9e2a5,6805010c-2fd5-4fb0-b454-bb054e567bb7,6c699c28-7a41-4eba-972e-2ba75a85d138,398d9117-fbd6-41d7-bad2-c1feb937fa1b,5ae59575-4171-4516-ae29-516295919b0c,a7228f46-4ef9-4031-8d18-75731aee72b1,b7d504fa-8d51-43e9-b934-bc4aed6b9576,f52d25d4-816b-409c-8602-045662cbb701,
293cf06e-8f58-4be2-a708-d64046fdd219,909c102a-9d95-464f-b6e2-6a9645d52edc,d216b9ef-333c-4eac-96fe-df31e61de541,9820f88d-4cbf-49ad-9904-4eedfc83b75a,a954b3f4-1c69-44de-b83d-d63c325dd981,b9da02ef-7de6-4939-9bb7-b2a0ee9351d1,0d580e50-a5c1-40a5-904f-af5d64dca91a,2bae1c97-ed01-45cd-b40a-ed9412f4076d,9a49537b-f6aa-411c-8f14-ed55dc83cc89,
776f8cfc-56be-47a3-802c-97b866f9ec63,ca93267c-2140-4d0f-a677-70f1efc212a5,1eeb4f30-ff92-4d18-9588-af9ab43ba30f,5ac9edf4-9d4d-42bb-ba09-4bd851823724,d12a620d-fd13-4405-8758-abac5ce6c932,5ff40440-f95b-47d0-b43a-e97953b2cb6b,87d956a6-25a1-42de-8bb8-91a0de75ef40,23561efd-515b-432f-b471-ba4d00525cb5,fb2c0b54-985b-485e-9e7b-ce1d7fb1de61,
a3fb63ad-184e-4abf-8244-e157d50efbd5,018ab51d-39bf-48de-ae27-ad34d7731c35,c7a95650-84a4-4e48-b37e-6e3d639fed0e,a2c02f4e-bbfc-48a0-a87f-9117fb35d530,29130c5b-c83f-4f91-82bc-d8715c5f63d8,896f5698-73fa-43ba-b945-84917c0752c4,bf6a174d-be79-4c86-82df-bf2d4d32bde0,aba00bd9-6b34-4605-ac6a-a750251075bd,44c1391d-1188-4d68-803c-ca0b8aa5c91d,
faa8d266-208b-43c1-bf56-6b85b8663ae3,a93072c8-0e31-424d-873e-72fcc293b8d7,3f63ec8f-024c-4f46-84f3-2d6b5a49cf5a,1b1b8261-5f2e-43ba-9d84-c723c9550f6f,2b94f1bd-9ff1-4f38-b6dc-4ea62d334225,07e12cc8-63e1-45b6-9338-a557951ab60b,6bb98bbf-ba76-4ad5-b2c3-763f3e8ddd71,8d5e8fa4-8a33-4b7f-8898-d85902e37343,7699b335-09e3-4184-a4d2-088b3d8baddd,
de1e7bd3-a8ee-4a68-95ee-cc8dc68df46c,0d105767-0f6c-47ed-b569-9d424319b75a,75593a46-01fb-4216-a789-c1286af76210,fe68a8c7-b63f-452f-83f4-1732ddebaa4a,77afd2d7-650b-4311-8471-c66333807108,7e973cb3-9df3-4b5c-bb19-0ec381f420cb,af456df6-abdf-4277-94e6-ff92aaaf5d67,afe0f65e-83cd-4db5-91ba-1a2f9c228fa2,406c6729-9926-4ac5-894b-e1cfd722676c,
69363c58-999f-464f-b13a-fbf68f88f2d5,db227df8-d2ff-4110-a421-20af4e6104f7,4d0fcc5b-1178-4ca3-ae30-51c0cce4148f,a2bf9ddd-bf7b-4111-9357-286b0dbce867,149b005b-9b45-4f2c-b9f4-ff06cdfbd244,a42a8658-5645-4733-a885-1614bbe21f1a,ec7b018d-985f-433a-a709-fac8adc738d6,066a0e2b-9bb3-48ec-8f75-c969b2852d7c,cacd6d52-12da-47a8-ae63-10f9c07cab7f,
